Name,Photo,Contact,Role,Institution,Institution Description,Festival Role,Attendance,Bio,Conversation Tip,Institution Link
Time’s Up,,,Artist / Contributor,AT,,Experience – Tell Me About It,Definitely,"Contributor to “Tell Me About It”: A typically relaxed atmosphere fills the Medusa Bar, a popular hangout at Turnton’s harbor, on a hot September evening in 2047, until news suddenly begins to spread...",Ask about their work in Experience and possible exchange or residency ideas with hosq in Armenia.,
Timid Robot Zehta,,https://www.linkedin.com/in/timid-robot/,Open Lab contributor,US United States,,Open Lab – Creativity as civic infrastructure: CCIs and digital commons,Definitely,"Timid Robot is the Director of Technology at Creative Commons (CC). They joined CC in 2018 and are delighted to champion open content as a powerful tool for achieving human rights and sustainability. They bring over 20 years of professional experience empowering others through technology and digital infrastructure. Timid Robot lives in Malta with their partner and two polydactyl cats. They love cats, free/libre and open source software, systems and giving back to the communities around them.",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,https://creativecommons.org/
Timo Stampa,,,Artist / Contributor,DE,,Project – Das Trampeltier,Probably,Contributor to “Das Trampeltier”: Das Trampeltier is an eXtended Reality installation that transforms conceptual ideas of Max Ernst’s 1937 painting L’Ange du Foyer into an interactive narrative XR experience.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Timothy Thomasson,,https://www.instagram.com/tim.thom/,Artist / Participant,"CA Canada, GB United Kingdom",,Project – Centurion,Probably,"Timothy Thomasson is an artist whose work explores slowness and duration, while questioning how moving images are produced and consumed in both historical and contemporary contexts. His practice examines the effects of computer-generated imagery and emerging technologies on society, culture, aesthetics and perception. Using computer animation and game engine technology, he creates durational, real-time works. Thomasson’s work has received international awards and been exhibited globally.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://timothythomasson.com/
Tina Dolinšek,,https://www.instagram.com/malinsek/,Artist (Meet the Artist),SI Slovenia,,Meet the Artist – Meet the Artist: Exploring the Art-Research Project ”Echoes of the Abyss” – Revealing the Ocean’s Hidden Histories and Geopolitical Scars,Definitely,"Tina Dolinšek is a new media art producer, curator and cultural facilitator who works with the Projekt Atol Institute. She has collaborated with numerous Slovenian cultural organizations, contributed articles to various local media outlets and edited several DIY art tutorials and booklets. She established the artistic research and production camp PIFcamp, which she has been leading since its inception.",Ask about their work in Meet the Artist and possible exchange or residency ideas with hosq in Armenia.,https://pif.camp/
Tina Frank,,,Artist / Contributor,AT,,Project – HEAR SAY (HÖREN SAGEN),Probably,Contributor to “HEAR SAY (HÖREN SAGEN)”: HEAR SAY (HÖREN SAGEN) asks a fundamental question: What does a machine make of what it hears—and who determines what it makes?,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Ting-Chun Liu,,,Conference contributor,DE,,Conference – Academic Session: Art Track #2 Authorship,Definitely,"Contributor to “Academic Session: Art Track #2 Authorship”: The Academic Session #2 Art Track: Authorship presents five contributions from the Expanded Conference Open Call that explore authorship, agency and creative control in expanded animation and interactive art.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Tjaš Leghissa,,,Artist / Participant,"IT Italy, SI Slovenia",,Project – RADICAL GAMING,Probably,"Tjaš Leghissa is an MA student in Computer Science (Software Engineering) at JKU Linz. He has a background in multimedia engineering and a strong interest in game development and game design. In the Radical Gaming project, he is responsible for developing game scenes.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Tobias Hoffmann,,,Open Lab contributor,DE Germany,,Open Lab – Escape Fake,Probably,"Tobias Hoffmann is the lead developer of Escape Fake, who has been with the project from the very beginning and is responsible for developing and programming all of its chapters. At Polycular he works on games, web and interactive applications, with earlier projects spanning human-robot interaction in Virtual Reality and Augmented Reality escape rooms. He holds an MSc in MultiMediaTechnology from FH Salzburg, where he majored in Game & Simulation Engineering, and his work ranges from game and Augemented Reality development to machine learning.",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
Tobias Horra,,,Artist / Contributor,DE,,Project – kulturvierung,Probably,"Contributor to “kulturvierung”: A biohybrid installation that draws parallels between the behavior of mycelium and the position of humans within modern structures. As a living archive, it questions where autonomy ends and conditioned behavior begins — between free will and predetermination, between the familia…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Tobias Staab,,https://www.instagram.com/la_staab/,Networking host / guest,DE Germany,,Project – EDN.ALPHA – Prototype testing; Networking Event – Embodied Futures; Project – OYA,Definitely,"Tobias Staab is an artist and curator who works at the intersection of contemporary dance, music and digital art. Since 2020, he has focused on the relationship between humans and machine-learning technologies, and from 2025 he has served as the artistic director for the International DANCE Festival Munich. His recent works include Matsukaze for the Bayerische Staatsoper and the mixed-reality installation OYA. He is currently developing the mixed-reality dance experience Everybody Dance Now.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://tobiasstaab.com/
Tom Hensel-Moritz,,,Artist / Contributor,DE,,Project – Urban Screen Lab,Definitely,"Contributor to “Urban Screen Lab”: As part of this laboratory for digital practice, the media façade of the Ars Electronica Center becomes an experimental field for a young generation of media artists. Under the artistic direction of Dawid Liftinger and Karin Balkenhol, six independent works for the iconic façade…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Tom Milnes,,,Conference contributor,UK,,Conference – Academic Session: Research Track,Definitely,Contributor to “Academic Session: Research Track”: The Academic Session: Research Papers presents six contributions selected through the Expanded Conference Open Call.,Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Tommaso Calarco,,,Speaker,DE Germany,,Lecture & Talk – Strategic Autonomy — Quantum Science and the New Non-Alignment,Definitely,"Prof. Tommaso Calarco is Director of the Peter Grünberg Institute for Quantum Control (PGI-8) at Forschungszentrum Jülich and Professor of Quantum Information at the Universities of Cologne and Bologna. A pioneer in quantum optimal control, he authored the Quantum Manifesto that launched the EU Quantum Flagship. He is Co-Chair of the Quantum Community Network (QCN) and co-founder of the European Quantum Industry Consortium (QuIC).",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Tomá Ivanov,,,Musician / Performer,AT,,Concert – Tomá Ivanov,Definitely,"Contributor to “Tomá Ivanov”: Tomá Ivanov captivates with a reduced, personal sound: dusty low-end warmth, tight percussion and melodic restraint.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Tomás Laurenzo,,,Conference contributor,US,,Conference – Academic Session: Art Track #2 Authorship,Definitely,"Contributor to “Academic Session: Art Track #2 Authorship”: The Academic Session #2 Art Track: Authorship presents five contributions from the Expanded Conference Open Call that explore authorship, agency and creative control in expanded animation and interactive art.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Torsten Podraza,,,Artist / Contributor,DE,,Project – OYA,Probably,"Contributor to “OYA”: OYA is a 13-minute mixed-reality installation by Tobias Staab with dancer Black Pearl de Almeida Lima. Drawing on her lived experience of transition, it stages a body in becoming—a holographic presence moving fluidly between the recorded and the rendered, death and rebirth.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Toyota Coniq,,,Artist / Contributor,JP,,Workshop – DAS Trail Workshop for Youngsters; Project – Data Art & Science Project 2026; Workshop – DAS Trail Workshop,Definitely,"Contributor to “Data Art & Science Project 2026”: How can we use data to shape the future of local communities and its revitalization? As part of the Data, Art & Science Project, initiatives and tools are becoming part of the social infrastructure in local communities.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Tsunhung Tsai,,,Conference contributor,TW,,Conference – Academic Session: Art Track #3 Control,Definitely,"Contributor to “Academic Session: Art Track #3 Control”: The Academic Session #3 Art Track: Control presents five Art Papers from the Expanded Conference Open Call that examine how control is negotiated between humans, technologies, materials and environments in expanded animation and interactive art.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Tucker Rae-Grant,,,Artist / Contributor,US,,Project – On the Manner,Probably,"Contributor to “On the Manner”: On the Manner connects a 17th century printmaking manual with penPal, a custom robotic drawing tool. Through a series of drawings and a hands-on demo, the project examines how artistic tools transform and transmit the cultural values embedded in their design.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Tura Gómez Coll,,,Performer,ES,,Performance – [not] breaking the cycle,Definitely,"Contributor to “[not] breaking the cycle”: An exploration of the way we move through different cyclical phases, from order to chaos back to order again. Trying to find the answers to questions, such as: How do things interact when they attract each other? How can what we perceive be distorted? How do things change when t…",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Tzumu Yang,,,Conference contributor,TW,,Conference – Academic Session: Art Track #3 Control,Definitely,"Contributor to “Academic Session: Art Track #3 Control”: The Academic Session #3 Art Track: Control presents five Art Papers from the Expanded Conference Open Call that examine how control is negotiated between humans, technologies, materials and environments in expanded animation and interactive art.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Udo Noll,,,Artist / Contributor,DE,,Project – Listening to Life and Change,Probably,Contributor to “Listening to Life and Change”: Multi-channel listening surrounding of live audio transmission from a seasonal bat maternity roost and acousmatic ultrasound composition with bat field recordings in the 20-45Khz range including guided listening sessions and interaction of visitors with ultra-sonic detectors,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Ugo Dossi,,https://www.instagram.com/ugo_dossi/,Networking host / guest,DE Germany,,Project – Trinity-Tarot-Garden; Networking Event – Extended Reality – An Art Form in Public Space (on Trinity-Tarot-Garden),Definitely,"Ugo Dossi is a renowned artist exploring consciousness, signs and archetypes. His installations have been shown twice at documenta (6 and 8) and at the Venice Biennale (1986, 2011, 2022), plus Paris, Buenos Aires, and numerous international museums. From 1986 to 1999 he taught in Munich, Berlin, Salzburg, Bombay and the USA. His Trinity Tarot, the result of over 60 years of research into Tarot and semiotics, transposes this lifelong inquiry into extended reality—a world premiere for Tarot.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://ugodossi.com/
UJOO + LIMHEEYOUNG,,,Open Lab contributor,KR,,Open Lab – Hello Worlds! Behind the Artworks: No Bird & Algorithms in Reflection,Definitely,Contributor to “Hello Worlds! Behind the Artworks: No Bird & Algorithms in Reflection”: How do we live together in a changing world? Meet the artists behind No Bird and Algorithms in Reflection and discover how these artworks came into being—from the first idea and experiments to the final installation—and how they explore coexistence in a shared world.,Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
UJOO+LIMHEEYOUNG,,,Open Lab contributor,KR South Korea,,Open Lab – Hello Worlds! Behind the Artworks: No Bird & Algorithms in Reflection,Definitely,"UJOO+LIMHEEYOUNG is a Seoul-based artist duo formed by Yoo Byoung-Joon (1976) and Lim Hee-Young (1979). Since beginning their collaboration in 2004, they have developed a practice centered on kinetic art, exploring contradictions and absurdities in social, political and cultural contexts.",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
Ulrike Mair,,https://www.youtube.com/@UlrikeMair,Open Lab contributor,AT Austria,,Open Lab – Earth Treasure,Probably,"Ulrike Mair, born 1980 in Vöcklabruck, is active across a broad spectrum of educational and creative fields. Art as an essential element of teaching is a particular focus of her work in primary education. This includes the board game Earth Treasure (Bodenschatz), which was tested at Feldkirchen-Donau Primary School. Publications in the field of digital literacy: Mein Medienheft, öbv Verlag Da ist Tardi – A tardigrade at the Ars Electronica Center",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,https://www.youtube.com/@UlrikeMair
Universidade Federal de Goiás,,,Exhibiting artist,BR,,Exhibition – HumanMapping,Probably,"Contributor to “HumanMapping”: The HumanMapping exhibition organizes poetic discourses on the foundational principles of algorithmic aesthetics, emphasizing universal and technological narratives, particularly concerning the relationship between the human and the non-human in today’s cultural landscape.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Upper Austrian Chamber of Labour,,,Artist / Contributor,AT,,Symposium – Retrotopia – Wenn Vergangenheit Zukunft bestimmt: Herausforderungen für Bildung und Demokratie,Definitely,"Contributor to “Retrotopia – Wenn Vergangenheit Zukunft bestimmt: Herausforderungen für Bildung und Demokratie”: This year’s Symposium Perspectives on Political Education, held as part of the Ars Electronica Festival, addresses topics such as tolerance, democratic rights and social responsibility.",Ask about their work in Symposium and possible exchange or residency ideas with hosq in Armenia.,
UTokyo,,,Exhibiting artist,JP,,Exhibition – Ambient (Re-)sourcing,Probably,"Contributor to “Ambient (Re-)sourcing”: What if energy were not something to extract, but something to attune to? Ambient (Re-)sourcing presents three installations tracing subtle energies—radiant warmth, falling droplets, signals from forests—as they emerge, transform and dissipate across matter, life and technology.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Vahid Qaderi,,https://www.instagram.com/vahidqaderi,Artist / Participant,IR Iran,,Experience – Interplayful Environments Part II; Experience – [un]weaving,Definitely,"Vahid Qaderi is an Iranian media artist, electronic musician and visual artist based in Linz, Austria. His artistic practice focuses on sound design, electronic music production, Augmented Reality/Virtual Reality experiences, video games, 3D animation and interactive audiovisual environments. Working across disciplines, he combines technology with artistic research to create immersive, spatial and perception-based experiences that connect sound, image and interaction.",Ask about their work in Experience and possible exchange or residency ideas with hosq in Armenia.,
Vale Vicente Matallana,,,Workshop leader,ES,,"Workshop – Media Art Practice: collaborate, conserve, context and intentionality",Definitely,"Contributor to “Media Art Practice: collaborate, conserve, context and intentionality”: The NEWART Foundation, cordially invites artists, practitioners, academics and historians to attend this participatory workshop to discuss key questions on collaboration, conservation, context and intentionality from artists' perspective on the sustainability of media art practi…",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Valentin Postl,,,Artist / Contributor,AT,,Experience – Urban Metamorphosis. Sketches of Tomorrow.,Definitely,Contributor to “Urban Metamorphosis. Sketches of Tomorrow.”: What if climate adaptation could give us the cities we want to live in? Explore immersive before-and-after scenarios that reveal how urban landscapes can evolve. Discover how sustainable design can improve everyday life and create more liveable futures.,Ask about their work in Experience and possible exchange or residency ideas with hosq in Armenia.,
Valerie Moschner,,,Artist / Contributor,AT,,Project – Crafting Futures Lab; Workshop – Crafting Futures Aperitif: Liquid Archives,Definitely,"Contributor to “Crafting Futures Lab”: The Crafting Futures Lab presents an exhibition-in-progress where making becomes collective research. Starting with material—its grain, resistance, memory—we follow the stories embedded in fibers, dust, tools and hands.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Valeriia Rymska‑Dolhikh,,,Artist / Contributor,UA,,Project – Sympoiesis,Probably,Contributor to “Sympoiesis”: Sympoiesis is a practice-based media art project exploring the body as a perceptual instrument.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Valérie Siron,,,Performer,CH,,Performance – Owelle (live visuals by Structurals),Definitely,"Contributor to “Owelle (live visuals by Structurals)”: Owelle’s live explores how sound, light and fiction reshape space and identity. Their hardware-based live performance merges with Structurals’ real-time visuals and light scenography, creating an immersive corporate fiction where music, image and narrative converge.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Vanessa Hannesschläger,,,Speaker,EU,,Lecture & Talk – Opening Remarks,Definitely,"Vanessa Hannesschläger is a senior European project developer at Ars Electronica. She holds a PhD in literature from the University of Vienna and teaches digital humanities in Austria and Sweden. Before joining Ars Electronica, Vanessa worked on developing European digital research infrastructures and numerous projects involving physical and digital archives for cultural heritage and art. In the European policy context, Vanessa advocates for digital infrastructures for the arts and humanities, data and legal literacy, the Commons, and Open approaches.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Vanessa Keller,,,Artist / Contributor,"DE, SK",,"Project – Hello, how are you?",Probably,"Contributor to “Hello, how are you?”: Hello, how are you?—something we hear and say every day, almost without noticing. Through movement and sound, this performance plays with this fading weight, stretching and dissolving the phrase until it felt almost hollow.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Various artists,,,Musician / Performer,,,Concert – Listening Room,Definitely,"Contributor to “Listening Room”: The Listening Room at the ABU ProduktionsStudio provides a dedicated space for attentive listening and discovery, showcasing a broad range of contemporary approaches to spatial and electroacoustic composition.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Various Sound and Performance Artists,,,Musician / Performer,AT,,Concert – GRMW Haunted Nightline,Definitely,"Contributor to “GRMW Haunted Nightline”: Hybrid genres, abstract practices, electronic soundscapes, a ghost train ride featuring living, dead and undead media: musicians, sound artists and performers from Linz and around the world will haunt the night: GET READY for HAUNTED NIGHTLINE!",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Veneta Androva,,,Conference contributor,BG,,Conference – Artist Perspectives: Prix Ars Electronica 2026; Screening – Spray and Pray,Definitely,"Contributor to “Spray and Pray”: Join Veneta Androva for a screening of her new film Spray and Pray, recipient of an Honorary Mention in the Prix Ars Electronica 2026. The screening is followed by a conversation with the artist.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Verein More Innovation Needs Talents,,,Workshop leader,,,Workshop – Discover the future with Join MINT and the Star Truck,Probably,"Contributor to “Discover the future with Join MINT and the Star Truck”: Join MINT is a program that sparks curiosity, nurtures talent and helps shape the future. Mathematics, computer science, natural sciences and technology are the keys to the world of tomorrow. Together, we open up new perspectives and make STEM visible, tangible and appealing.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Verein Schwemmland,,,Open Lab contributor,AT,,Open Lab – SCHWEMMLAND FACTORY-LAB,Definitely,"Contributor to “SCHWEMMLAND FACTORY-LAB”: To mark the conclusion of the WORK ON BIODIVERSITY Climate Fund project, SCHWEMMLAND and its partners invite visitors to the SCHWEMMLAND FACTORY-LAB at the Climate Oasis Linz-Lustenau.",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
Veronika Liebl,,,Networking host / guest,AT Austria,,Networking Event – Town Hall Meeting: How to partner with the Ars Electronica Festival?; Networking Event – Town Hall Meeting: Conflict Culture,Definitely,"Veronika Liebl is currently Director of European Cooperation at Ars Electronica and Managing Director of the Festival/Prix/Exhibitions Department. She studied Economics and Business at Johannes Kepler University Linz (graduating in 2010), with study visits at Harvard University (USA) and the University of Fribourg (Switzerland), and has an interdisciplinary background in nonprofit and innovation management. Since 2011, she has been responsible for cultural management and European project development at Ars Electronica Linz and serves as a member of the Linz Cultural Advisory Board, the board…",Use the networking moment to introduce hosq and ask about partnership frameworks.,
Veronika Mayer,,,Performer,AT,,Performance – Subkutan; Project – Sound Campus (WED 9.9.),Definitely,"Contributor to “Sound Campus (WED 9.9.)”: Sound Campus – Listening Underground explores the movement beneath the surface. It considers the ongoing, divergent processes which are felt but not always seen. To submerge opens up new modes of attention and multi-sensory listening that change our relation with the surrounding.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Veronika Miskovicova,,,Artist / Contributor,SK,,Project – Remote Twins,Probably,"Contributor to “Remote Twins”: Remote Twins is an installation connecting biodiversity monitoring with architecture for non-human actors. It consists of two parts: one in a natural environment, equipped with a camera detecting and identifying insects, and the other in the exhibition space, visualizing data co…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Vicente Matallana,,https://newartfoundation.com,Workshop leader,ES Spain,,"Workshop – Media Art Practice: collaborate, conserve, context and intentionality",Definitely,"Vicente Matallana (1967-2026) was a specialist in electronic art and new media. He was the director of NEWART Foundation and NEWART Centre and oversees the NEWART Collection. As founder and director of LaAgencia, he developed projects related to the production, exhibition, collecting and conservation of technological art, collaborating with artists and institutions in Spain and internationally.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://newartfoundation.com
Victor J. Schupfer,,,Workshop leader,AT,,Workshop – How to create a monotype,Definitely,Contributor to “How to create a monotype”: Discover the art of monotype printmaking in this event hosted by the Zülow-Gruppe. Learn about a printmaking technique that has fascinated artists for centuries.,Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Victoria De Napoli,,https://www.instagram.com/allinvicky/,Speaker,DE Germany,,Lecture & Talk – The Data Workers’ Inquiry: In Their Own Words,Definitely,"Victoria De Napoli is an Argentine writer, musician and researcher with 10+ years of experience in Learning & Development. She holds a degree in Social Communication Sciences and has worked at the intersection of technology and social research. After working as a trainer on AI projects developing language models, she started exploring the human impact of AI. She is currently completing her first documentary, based on testimonies from workers whose lives and labor are being transformed by AI.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Victoria Szabo,,,Conference contributor,US,,Conference – Birds of a Feather: Connecting Media Art Research,Definitely,"Contributor to “Birds of a Feather: Connecting Media Art Research”: Connecting Media Art Research is a Birds of a Feather session that brings together representatives from leading media art communities and conferences. The session offers a platform to introduce their respective initiatives, exchange perspectives on current developments in the fi…",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Victoria Vesna,,https://victoriavesna.com,Speaker,US United States,,"Workshop – Media Art Practice: collaborate, conserve, context and intentionality; Lecture & Talk – Leonardo LASER Talks Linz – Lab Songs Vol. III: Stardust Paella; Networking Event – ECOfem Media Art Stammtisch",Definitely,"Victoria Vesna is professor at UCLA’s Department of Design Media Arts and director of the Art|Sci Center. She specializes in experimental art research and the impact of communication technologies on identity and behavior. She has a PhD from CAiiA-STAR, University of Wales (2000), collaborates with scientists across disciplines—from neuroscience to nanotechnology. Vesna has exhibited in many international exhibitions. She edits AI & Society; Database Aesthetics and Context Providers.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://victoriavesna.com
Vikki Jones,,,Open Lab contributor,GB,,Open Lab – Creativity as civic infrastructure: CCIs and digital commons,Definitely,"Contributor to “Creativity as civic infrastructure: CCIs and digital commons”: At Ars Electronica Festival in Linz, ekip’s final Policy Lab explores the topic of Creativity as civic infrastructure: CCIs and digital commons, asking how cultural and creative ecosystems can strengthen Europe’s digital commons and support more resilient, inclusive and particip…",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
Vinaya Tawde,,,Conference contributor,CZ,,Conference – Academic Session: Research Track,Definitely,Contributor to “Academic Session: Research Track”: The Academic Session: Research Papers presents six contributions selected through the Expanded Conference Open Call.,Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Vincent A. Cellucci,,https://www.linkedin.com/in/vincent-cellucci-87b06b1b/,Artist / Participant,"NL Netherlands, US United States",,Project – resurrection 2.0,Probably,"Vincent A. Cellucci is a writer and program maker at the TU Delft Library, where he founded and runs the AI in the Library knowledge community, curates exhibitions, collaborates with researchers and educators and develops academic and cultural programming. As a PhD candidate at Leiden University, he explores computational creativity in order to continue to push the envelopes of experimental poetry, publishing, performance, interactivity and exhibitions in the worlds of education and fine arts.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://www.vincentacellucci.com/
Vincent Mugg,,https://www.instagram.com/sincerelyvinelliot/,Artist / Participant,CH Switzerland,,Experience – Interplayful Environments Part I; Project – Awakening Matter; Experience – Mona Moon and the Comet,Definitely,"Vincent Mugg’s work unfolds between nature and its echoes. Through film, photography, text and media art, he gathers together fragments, archives and writings, tracing emotional landscapes where reality and memory begin to blur. Moving through these collected personal and environmental traces, his practice exists between preservation and artificial reproduction, shaped by longing and the instability of memory.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://sincerelyvinelliot.com
Violeta Fontana Morales,,,Artist / Contributor,ES,,Project – Ex-Vivo,Probably,"Contributor to “Ex-Vivo”: Ex-Vivo transforms CRISPR gene editing into a sensory experience. A textile structure with embedded LEDs reacts to viewers’ proximity, while reconfigurable fabric strips evoke the processes of editing and repairing DNA. The work reflects on the possibilities and responsibilities…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
VISTA,,,Open Lab contributor,AT,,Open Lab – VISTA Science Experience Center – on tour,Probably,Contributor to “VISTA Science Experience Center – on tour”: Discover cutting-edge science through the VISTA Science Experience Center of the Institute of Science and Technology Austria (ISTA). Try The Claw and control a robotic claw using the power of your own muscles.,Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
Vivian Tabeth moderated by Reshma Khan,,,Panelist,EG,,Panel Discussion – Negotiating Humanity,Definitely,"Contributor to “Negotiating Humanity”: Bringing the symposium to a close, this panel explores what it means to keep humanity at the center of Artificial Intelligence in humanitarian action.",Ask about their work in Panel Discussion and possible exchange or residency ideas with hosq in Armenia.,
Viviane Tavares de Moraes,,,Artist / Contributor,BR,,Project – Biomimetic + P.U.L.S.A.R,Probably,"Contributor to “Biomimetic + P.U.L.S.A.R”: The artwork explores self-regulating responsive systems mapping environmental gestures. Inspired by fungi and Mimosa pudica, it transforms natural behaviors into interactive responses, metaphorically reflecting interpersonal relationships through adaptation, feedback and connect…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Viviane Töbich,,,Musician / Performer,AT,,Concert – TiSHiNA (duo),Definitely,"Contributor to “TiSHiNA (duo)”: TıSHıNA blends soulful pop with modern harmonies, hip-hop grooves and electronic elements—a sound that is at once intimate and captivating.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
VLKSFST Orkest,,,Performer,NL,,Performance – VLKFST Orkest Re-Enacts: Symphony of Sirens (1923),Probably,Contributor to “VLKFST Orkest Re-Enacts: Symphony of Sirens (1923)”: Volksamt Klang Manufaktur continues their series of re-enactments of significant 20th century compositions with a reimagining of Arseny Avraamov’s seminal industrial music piece Symphony of Sirens.,Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Volkan Dinçer,,,Artist / Contributor,TR,,Project – Listening to Calcified,Probably,"Contributor to “Listening to Calcified”: This project focuses on the perception and memory of matter, using media-archaeological techniques that release captured information as sound waves from scratches.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Volksamt! Klang Manufaktur,,,Performer,,,Performance – VLKFST Orkest Re-Enacts: Symphony of Sirens (1923),Probably,Contributor to “VLKFST Orkest Re-Enacts: Symphony of Sirens (1923)”: Volksamt Klang Manufaktur continues their series of re-enactments of significant 20th century compositions with a reimagining of Arseny Avraamov’s seminal industrial music piece Symphony of Sirens.,Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Voluspa Jarpa,,https://www.instagram.com/voluspa.jarpa.studio/?hl=es,Artist / Participant,CL Chile,,Project – Counter-Cartographies of Resistance,Probably,"Voluspa Jarpa maintains an extensive artistic practice that is grounded in long-term research into archives, memories, social trauma, ancestral knowledge and environmental sacrifice zones. Her exhibitions include the Istanbul Biennial 2011, São Paulo Biennial 2014, MALBA 2016, Shanghai Biennale 2018 and Altered Views at the Venice Biennale 2019 (Chile Pavilion). She received the Julius Baer Prize in 2020, a Prize at the 16th Cuenca Biennial in 2023 and the STARTS Buen-TEK Prize in 2026.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://www.voluspajarpa.com/artworks/
Wan Ardini Wan Edrin,,,Artist / Contributor,MY,,Project – Bloom,Probably,Contributor to “Bloom”: Bloom: A kinetic sculpture that translates the natural act of flowering into a precise mechanical choreography,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Wangqing Li,,,Artist / Contributor,CN,,Project – Turbid Encounters,Probably,"Contributor to “Turbid Encounters”: Turbid Encounters translates the movement and proximity of surrounding bodies and objects into vibrations across the face. A wearable mask suspends visual orientation, shifting perception into air as a dense relational medium where co-presence unfolds as turbid patterns of motio…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
was geht?,,,Exhibiting artist,AT,,Exhibition – Enlightening Stories,Probably,"Contributor to “Enlightening Stories”: A small forest—great stories. Voices wait among these branches to be heard. The transmedia artwork Enlightening Stories illuminates spaces with storytelling. These stories are not performed on a stage, a screen or through a speaker. They are told through light, emerging from the…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
